Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-01-02,40.3697,40.8229,40.2231,40.7781,26399221.454131
2018-01-03,39.5794,40.2231,37.9942,39.3948,132913635.33114
2018-01-04,37.8808,38.8635,37.1589,38.675,102446538.5563
2018-01-05,38.675,39.3001,38.2129,38.9074,47999989.402565
2018-01-08,38.5352,39.0276,38.2627,38.9425,38727075.948917
2018-01-09,38.9074,39.0276,37.8544,37.9677,50842943.013211
2018-01-10,37.7167,37.9501,36.9391,36.9929,52530385.359316
2018-01-11,37.2527,37.9336,36.948,37.7851,40582365.223466
2018-01-12,37.8192,37.9501,37.4364,37.6366,34391735.823441
2018-01-16,37.9062,38.1152,37.3289,37.5497,43549249.45908
2018-01-17,37.9013,38.6925,37.872,38.6369,37057367.812451
2018-01-18,38.6466,38.9377,38.4454,38.714,30726116.766623
2018-01-19,38.841,39.0725,38.5177,39.0109,29317744.316809
2018-01-22,38.9963,39.8579,38.9885,39.8218,31658096.933414
2018-01-23,39.8735,40.1167,39.7192,40.0933,25306606.591588
2018-01-24,39.9536,40.1539,39.1341,39.6127,38758797.487905
2018-01-25,39.935,40.3619,39.3187,39.4319,41516490.120915
2018-01-26,42.1104,43.6509,41.8857,43.5922,99649273.339238
2018-01-29,43.1742,44.2613,42.9719,43.5024,53173131.961093
2018-01-30,43.0676,43.5737,42.4249,42.4679,37676377.00622
2018-01-31,42.8489,42.8674,41.3973,41.9034,47701497.153027
2018-02-01,41.5135,42.1885,41.3045,41.4754,33096367.645221
2018-02-02,41.1883,41.5986,40.1255,40.1705,32700058.274122
2018-02-05,40.3443,41.1385,38.7326,38.7482,54578830.407813
2018-02-06,38.5733,39.3724,37.7089,39.3548,66351554.899103
2018-02-07,39.0647,40.5739,38.8586,39.6097,42768860.288452
2018-02-08,39.6801,39.8022,37.4539,37.4637,48428476.899704
2018-02-09,38.1201,38.8039,36.8395,38.5157,56123638.439631
2018-02-12,38.6925,39.5766,38.6369,39.2952,32377663.794794
2018-02-13,39.0745,39.2376,38.7804,38.9631,22200994.625072
2018-02-14,38.6183,39.8794,38.5919,39.768,22728876.823699
2018-02-15,40.2056,40.3013,39.39,40.2398,25402239.056719
2018-02-16,40.1499,40.8279,39.8794,39.9253,24503666.525046
2018-02-20,39.8393,40.9304,39.7758,40.5925,29064548.36928
2018-02-21,40.9001,41.2381,40.2398,40.2574,31378109.768068
2018-02-22,40.4332,40.8004,39.9781,40.1362,18989518.958008
2018-02-23,40.608,41.8799,40.5787,41.8261,29707092.270975
2018-02-26,42.2373,43.054,42.1504,43.0364,30170452.372002
2018-02-27,43.265,44.6032,43.2103,43.7388,49780829.394217
2018-02-28,43.9712,44.1138,43.1858,43.1927,40557180.250232
2018-03-01,43.3793,43.5678,41.6005,41.9219,41453490.321401
2018-03-02,41.3592,42.9827,41.1551,42.9231,38011781.145312
2018-03-05,42.5626,43.6361,42.0987,43.5981,35177128.000621
2018-03-06,43.9556,44.9813,43.9477,44.4381,44655119.678454
2018-03-07,43.9712,45.117,43.9048,44.9734,36290211.476425
2018-03-08,45.3866,45.6396,44.2282,44.4636,33641891.917088
2018-03-09,44.9275,45.8321,44.6931,45.7353,37346867.54929
2018-03-12,45.4432,45.5263,44.2545,45.1492,36566868.422759
2018-03-13,46.0235,47.1283,45.035,45.3768,52005859.996884
2018-03-14,45.621,45.7217,44.9646,45.4432,28520886.276444
2018-03-15,45.7705,45.8321,44.5886,44.5886,29248614.375442
2018-03-16,44.8416,45.3036,44.6843,44.8416,48566361.070672
2018-03-19,44.4636,44.8934,43.7563,44.5446,35506604.697941
2018-03-20,44.5886,45.4042,44.5613,45.1737,25350190.180284
2018-03-21,45.1737,45.7167,44.8416,45.1835,26519307.943717
2018-03-22,44.4636,45.5341,44.3414,44.5446,35279198.752678
2018-03-23,44.3336,44.6843,43.2552,43.2552,43002271.479559
2018-03-26,44.4636,45.9972,44.0972,45.9893,44853590.69898
2018-03-27,46.4533,46.6634,44.5007,44.8601,44249721.563305
2018-03-28,44.2545,44.4293,42.9485,43.4633,43329761.10184
2018-03-29,43.7974,45.6396,43.7026,45.6396,51654255.207355
2018-04-02,45.2957,45.6025,41.4443,42.8694,76670172.478798
2018-04-03,42.9406,43.7817,42.4239,43.5981,44997529.255204
2018-04-04,42.1504,43.9556,42.0733,43.8071,34656229.741159
2018-04-05,43.8237,44.4469,43.7886,44.15,28659931.36606
2018-04-06,43.6313,44.1666,42.5011,42.756,32197225.915341
2018-04-09,43.0794,44.7888,43.0794,43.4232,35792025.863448
2018-04-10,44.7976,45.1219,44.1138,44.9275,30146150.884476
2018-04-11,44.779,45.331,44.779,44.779,20038785.691545
2018-04-12,45.1219,46.6799,45.0877,46.2013,33984457.101982
2018-04-13,46.4992,46.6281,45.2186,45.4432,23832397.564859
2018-04-16,45.8242,46.0323,45.3866,45.919,21516565.515666
2018-04-17,46.3674,47.0589,46.3498,46.9182,24224744.046996
2018-04-18,46.8997,47.6343,46.7434,46.9798,25292824.009797
2018-04-19,46.4005,46.4074,45.2283,45.7608,29010286.171756
2018-04-20,45.7167,45.8164,44.5886,45.1581,30707967.943181
2018-04-23,45.2957,45.4716,44.5613,44.779,24770245.79663
2018-04-24,45.453,47.0061,44.8152,45.0877,48492024.398933
2018-04-25,45.4432,45.6581,44.3414,45.0272,29387348.248771
2018-04-26,45.7979,46.6809,45.6298,46.4904,45160329.156371
2018-04-27,48.5837,48.8885,45.7705,46.2111,79751599.663895
2018-04-30,46.0606,46.7698,44.8787,45.2371,41557026.042226
2018-05-01,45.2538,46.8118,45.079,46.7336,31496106.808836
2018-05-02,46.5246,46.6213,45.7012,45.8399,29416471.541262
2018-05-03,45.4716,46.0606,44.8787,45.8164,32591833.834244
2018-05-04,45.497,46.5725,44.949,46.5197,29093534.480908
2018-05-07,46.5891,47.225,46.5637,47.0043,23015879.664082
2018-05-08,46.973,47.267,46.5373,47.267,23856657.079136
2018-05-09,47.3832,47.9185,46.8821,47.8941,22495997.97624
2018-05-10,48.0778,48.4763,47.6841,48.4577,21234768.381917
2018-05-11,48.1412,48.6423,47.9751,48.1852,17478269.050763
2018-05-14,48.2751,48.6882,48.2477,48.3874,24822648.886339
2018-05-15,48.1061,48.2565,47.2084,47.523,24634818.596345
2018-05-16,47.7447,48.2106,47.5531,48.1579,18448853.345666
2018-05-17,48.0778,48.865,47.9654,48.3082,19143375.485889
2018-05-18,48.0602,48.069,47.1283,47.1518,26866879.206377
2018-05-21,47.9087,48.6697,47.4721,47.8785,28781415.257722
2018-05-22,48.2379,48.5203,47.6382,47.9927,21567969.437297
2018-05-23,47.5942,48.6794,47.4536,48.6619,23321851.341873
2018-05-24,48.6336,48.74,47.7085,48.2565,22313965.113319
2018-05-25,48.2985,48.9158,48.069,48.865,21046517.335693
2018-05-29,48.5818,49.1874,48.3082,48.7566,27517638.603791
2018-05-30,49.2617,49.5342,49.0165,49.0731,28037288.926895
2018-05-31,49.0643,49.2334,48.5301,48.6521,35129102.413679
2018-06-01,49.2147,50.3264,49.1796,50.3107,35379914.075908
2018-06-04,50.2473,50.766,50.0402,50.089,25571308.328076
2018-06-05,50.1496,50.343,49.5478,49.8262,24605738.30084
2018-06-06,49.8262,50.2922,49.4277,50.2658,26044772.721036
2018-06-07,50.1681,50.2375,49.0203,49.2519,31310098.772098
2018-06-08,48.9715,49.0927,48.1774,48.5203,34971109.985149
2018-06-11,48.2985,48.5554,47.8248,48.0513,29218209.363245
2018-06-12,48.361,48.5026,47.7867,48.317,26430062.578624
2018-06-13,48.4577,49.0927,48.3971,48.5026,25677260.070073
2018-06-14,48.8719,49.2334,48.6336,48.952,26571757.101626
2018-06-15,48.6258,48.8114,48.1061,48.574,44469656.270218
2018-06-18,47.8599,47.8599,46.13,46.9056,46250676.439721
2018-06-19,45.9571,46.6692,45.7255,46.6506,36058039.008037
2018-06-20,46.8821,47.3705,46.4387,47.1195,24283538.331692
2018-06-21,47.9273,48.0602,45.7793,45.9981,50415859.060574
2018-06-22,46.3791,46.7912,46.0958,46.2717,39349718.388083
2018-06-25,45.0995,45.6103,43.9888,44.696,51460709.38931
2018-06-26,44.0259,44.4293,43.5043,43.7788,42595681.733628
2018-06-27,43.4868,44.1207,42.9681,42.9739,37825655.378728
2018-06-28,42.8166,43.6196,42.7473,43.4095,32966114.415698
2018-06-29,43.6547,44.1656,43.6274,43.812,32796872.132656
2018-07-02,43.222,44.3063,43.0383,44.2457,26952661.266546
2018-07-03,44.5817,44.8279,43.5678,43.602,18525374.673837
2018-07-05,44.0523,44.9148,43.8482,44.7312,29684714.386746
2018-07-06,44.7468,45.3925,44.4225,45.2762,22655422.613931
2018-07-09,45.5146,45.7344,44.949,45.708,24236534.435059
2018-07-10,45.92,46.0626,45.6914,45.9737,19699665.384296
2018-07-11,45.5605,45.7158,45.117,45.1268,21177635.623645
2018-07-12,45.874,46.255,45.5917,46.1397,23023782.919778
2018-07-13,46.1846,46.2042,45.6201,46.0245,15600815.853183
2018-07-16,45.9649,46.1144,45.7158,45.8399,18098367.501535
2018-07-17,44.9949,45.7246,44.9588,45.6103,17874768.837091
2018-07-18,45.7158,45.8076,45.3593,45.5839,16620541.609213
2018-07-19,45.4785,45.8399,44.9949,45.8164,18101870.732232
2018-07-20,45.6816,45.8936,45.2421,45.751,19727635.948041
2018-07-23,45.6288,46.2667,45.2421,46.1056,18091470.58008
2018-07-24,46.5021,46.9778,45.8985,45.9903,20182746.770002
2018-07-25,46.0157,46.2286,45.0311,46.213,22570266.057548
2018-07-26,46.2286,46.8733,45.7158,45.9737,32088848.938532
2018-07-27,42.9739,43.3636,41.8466,42.0244,76943678.360231
2018-07-30,41.9795,42.2989,40.9206,42.0342,40500750.799817
2018-07-31,42.5158,42.9016,42.0342,42.3936,41504437.655979
2018-08-01,42.3536,43.1097,42.3067,43.0217,31837191.668894
2018-08-02,42.7473,43.6449,42.4806,43.6098,30012569.483416
2018-08-03,43.6274,43.8755,43.3373,43.7436,24970100.91064
2018-08-06,43.2464,43.725,42.8469,43.7163,30075315.395959
2018-08-07,43.8305,44.1851,43.812,44.0719,31940247.256699
2018-08-08,43.981,44.4508,43.8393,44.3014,24807526.231788
2018-08-09,44.2125,44.8719,44.0884,44.4596,26834938.587504
